"Algorithm","Hash","Path"
"SHA256","E5DE2B3BE4F79420CADB7E12FAC79035DC4C42049773938FD7480767B13EFA69","C:\LAB3\Evidence\autoruns_after.csv"
"SHA256","09E8556570C46CBF16017A7CD3BEC70CD7D9064D741A816A8CE526CED53FF26D","C:\LAB3\Evidence\baseline_defender.txt"
"SHA256","63422460F398A5848552423D9D47BE7DCFA852A2F1765D5FE2F5716726FB9A40","C:\LAB3\Evidence\baseline_firewall.txt"
"SHA256","A72863D6865137F8580E7307B83B6281CD5B3F1C0DEF4EC26C965A142ED2B83C","C:\LAB3\Evidence\baseline_network.txt"
"SHA256","EBF68DB1D9EC25B152DB4055CB8C9EFB545F35AEBE74D974D0D28B254CA7F4C3","C:\LAB3\Evidence\baseline_os.txt"
"SHA256","7F92970E77CF1A754D739BFC91EC186C32E7CB4D25FCEDCAB1FA61542094CA46","C:\LAB3\Evidence\baseline_processes.txt"
"SHA256","24E5D8450835390AF3D1D2515D13F7773CFCA6469FD627145D6BD6AD12CE84AC","C:\LAB3\Evidence\ddos_sources.txt"
"SHA256","CB0057BC8D818276CDDA0EB498EE1BDA6D76A4F1FFBC31D2381643E50FD0635E","C:\LAB3\Evidence\defender_eicar.txt"
"SHA256","9917B7F4BFA5F686645B6E0F865F7087C89CF1FF57C99D1DC4BF9C625716F871","C:\LAB3\Evidence\local_load_test.txt"
"SHA256","E7FD8D985E5F9B042B92A2DA6E06077815242EE5293D38BD074AD5476AB0D24E","C:\LAB3\Evidence\mail_sender_counts.txt"
"SHA256","2AB9646BC50CE4D3326BA3B3A2F28583D23FA2E3E7B26A54081E06D8A3A5AD96","C:\LAB3\Evidence\mail_volume.txt"
"SHA256","EFB6BA87AA41A7794B8D1C718B5D583054D3ECB6EAB1B83BCA0963DFC91BC7C6","C:\LAB3\Evidence\start_time.txt"
"SHA256","ACD8C96EA1FE4AB255E48CB4D0C5590567DF30668F13A67FDC1BC742E68A3610","C:\LAB3\Evidence\sysmon_persistence.txt"
"SHA256","8BBCF73C172672DD4E92EE5AF07B311616EF4F509E720D7F38C03EE8170B6019","C:\LAB3\Evidence\task_ran.txt"
